movie_title,cast_1_score,cast_2_score,cast_3_score,cast_score
The Tuxedo,135,31,0,166
Jack Ryan: Shadow Recruit,137,0,8,145
Miss Congeniality 2: Armed and Fabulous,149,0,0,149
Vice,45,151,45,241
Shooter,46,72,0,118
Gangster Squad,2,78,140,220
Smurfs: The Lost Village,0,0,41,41
First Man,194,0,150,344
Year One,188,69,0,257
Edge of Darkness,0,99,0,99
Star Trek: Nemesis,92,0,0,92
Reign of Fire,30,9,0,39
Planet 51,63,36,23,122
Duplicity,52,99,0,151
Righteous Kill,58,85,0,143
Invictus,74,304,0,378
State of Play,152,0,4,156
The Sentinel,0,0,17,17
Trouble with the Curve,0,249,0,249
Intolerable Cruelty,238,162,48,448
Almost Famous,0,0,0,0
Cold Pursuit,42,0,0,42
Analyze That,329,249,29,607
The Soloist,179,194,0,373
The Mortal Instruments: City of Bones,58,0,0,58
The Legend of Bagger Vance,0,0,0,0
Dragonfly,118,0,0,118
Priest,30,0,0,30
Garfield: A Tail of Two Kitties,77,77,0,154
XXX: State of the Union,78,122,0,200
Sinbad: Legend of the Seven Seas,287,162,58,507
Dark Water,0,0,0,0
The Black Dahlia,11,30,128,169
The Spirit,0,94,120,214
The Last Castle,79,0,0,79
Inkheart,165,0,0,165
Supernova,0,0,0,0
Flyboys,0,0,0,0
Winter’s Tale,134,0,84,218
Meet Dave,67,0,0,67
The Great Raid,0,0,0,0
Rock Dog,0,0,0,0
Mortdecai,167,99,113,379
In the Name of the King: A Dungeon Siege Tale,37,0,4,41
Beyond Borders,0,171,0,171
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,0,0,0,0
The Informer,91,0,0,91
Sherlock Gnomes,256,154,108,518
The Kid Who Would Be King,0,0,0,0
Deadpool,13,0,0,13
American Sniper,365,0,0,365
Goosebumps,0,0,0,0
Red Tails,0,0,0,0
Just Like Heaven,132,0,0,132
The Internship,13,162,81,256
The Flintstones in Viva Rock Vegas,0,0,0,0
Leatherheads,172,0,21,193
Life,85,0,92,177
Did You Hear About the Morgans?,62,146,0,208
"Che, Part 1: The Argentine",0,0,0,0
Sex and the City,56,0,0,56
Resident Evil: Afterlife,64,0,0,64
That’s My Boy,222,0,0,222
Ghost Rider: Spirit of Vengeance,197,0,106,303
After the Sunset,95,46,0,141
Captain Corelli's Mandolin,366,0,0,366
Into the Woods,58,76,137,271
Anger Management,64,106,0,170
The Pacifier,141,0,0,141
Walking Tall,106,0,0,106
Zhuo yao ji,0,0,0,0
Joker,0,19,92,111
Alvin and the Chipmunks,0,0,0,0
Bohemian Rhapsody,0,0,0,0
Hitch,277,16,0,293
Meet the Parents,0,0,0,0
The Pursuit of Happyness,273,0,0,273
Fifty Shades Darker,131,90,0,221
Captain Phillips,42,0,0,42
American Wedding,87,87,194,368
Murder on the Orient Express,0,0,126,126
The Equalizer,161,0,149,310
Fifty Shades Freed,207,166,0,373
Date Night,160,12,173,345
Maid in Manhattan,117,0,0,117
Flightplan,79,0,0,79
Paddington,0,0,88,88
R.V.,0,0,0,0
Kill Bill: Volume 1,0,0,0,0
Mr. Poppers's Penguins,72,67,0,139
Kill Bill: Volume 2,75,0,0,75
Shanghai Noon,0,0,0,0
Free Birds,0,162,0,162
The Forbidden Kingdom,81,3,33,117
The Phantom of the Opera,0,0,0,0
Muppets Most Wanted,0,0,0,0
Kubo and the Two Strings,96,0,91,187
Burlesque,0,0,0,0
Changeling,94,0,0,94
The Watch,220,73,57,350
The Hunted,213,0,62,275
Stuck On You,207,19,0,226
Semi-Pro,206,0,0,206
Annihilation,0,51,93,144
Crimson Peak,0,91,191,282
The Pirates! Band of Misfits,29,0,0,29
Aeon Flux,74,0,0,74
Elizabeth: The Golden Age,139,316,0,455
Imagine That,70,0,0,70
Gods and Generals,0,0,0,0
Bullet to the Head,149,5,0,154
All the King's Men,140,136,84,360
Thunderbirds,0,0,0,0
Un long dimanche de fiançailles,0,0,79,79
Lucky You,156,81,12,249
Eye See You,28,0,0,28
Blade 2,18,0,0,18
"You, Me and Dupree",10,157,0,167
Seven Pounds,274,71,0,345
Elizabethtown,290,94,66,450
Gigli,256,206,0,462
Shaft,0,0,0,0
The Dukes of Hazzard,85,0,0,85
Law Abiding Citizen,194,179,0,373
Black Mass,167,151,0,318
Moulin Rouge,122,100,0,222
Domestic Disturbance,153,0,0,153
Flags of Our Fathers,0,0,0,0
Grindhouse,134,0,0,134
Zero Dark Thirty,2,0,0,2
Catch Me if You Can,17,186,0,203
Mamma Mia!,124,0,0,124
The Break-Up,122,264,0,386
Valentine's Day,82,94,122,298
The Change-Up,63,89,87,239
From Paris With Love,253,0,0,253
Bulletproof Monk,83,194,0,277
"Me, Myself & Irene",0,0,0,0
Barnyard: The Original Party Animals,0,0,48,48
Alpha,0,0,0,0
Deck the Halls,41,0,0,41
The Adjustment Bureau,202,52,0,254
The Twilight Saga: New Moon,88,88,88,264
Shrek,91,286,258,635
Ted,141,47,0,188
22 Jump Street,322,108,0,430
Daddy’s Home,84,327,0,411
Central Intelligence,344,92,0,436
Anchorman 2: The Legend Continues,171,0,54,225
Super 8,0,0,0,0
Mr. Deeds,118,95,49,262
Erin Brockovich,0,0,0,0
Creed II,115,59,93,267
Peter Rabbit,0,0,100,100
How to Lose a Guy in 10 Days,25,50,0,75
The Mule,0,0,0,0
Yes Man,111,0,0,111
Non-Stop,286,46,0,332
Disney Planes,0,0,0,0
Failure to Launch,0,0,0,0
Inside Man,117,217,83,417
The Emoji Movie,23,0,0,23
"Crazy, Stupid, Love",156,0,0,156
The Post,61,179,0,240
Knowing,264,0,12,276
The Ring Two,85,0,0,85
We Bought a Zoo,202,223,0,425
Moneyball,229,0,57,286
Garfield: The Movie,54,88,0,142
Christmas with the Kranks,74,76,0,150
V for Vendetta,0,154,0,154
Race to Witch Mountain,63,0,59,122
The Forgotten,112,0,0,112
Herbie: Fully Loaded,128,0,0,128
Shanghai Knights,192,78,0,270
Planes: Fire and Rescue,0,20,0,20
Curious George,232,165,85,482
American Reunion,0,0,0,0
Hansel & Gretel: Witch Hunters,323,85,0,408
I am Number Four,0,3,0,3
Don’t Say a Word,140,57,0,197
13 Hours: The Secret Soldiers of Benghazi,0,0,0,0
Unfaithful,147,129,0,276
American Made,218,0,0,218
Syriana,146,285,126,557
Resident Evil: Apocalypse,56,0,0,56
The Book of Life,0,98,322,420
Firewall,11,0,84,95
Into the Storm,0,0,0,0
The Judge,288,0,78,366
Silent Hill,0,0,0,0
Rambo: Last Blood,59,0,0,59
The Replacements,0,0,0,0
War Dogs,120,56,0,176
Out of Time,190,0,0,190
Bridget Jones: The Edge Of Reason,247,88,168,503
The Beach,0,0,0,0
The Adventures of Sharkboy and Lavagirl in 3-D,0,0,0,0
Ninja Assassin,0,0,13,13
Raising Helen,0,92,0,92
The Nice Guys,78,80,0,158
Marmaduke,168,56,0,224
Hereafter,229,0,0,229
Murder by Numbers,179,0,0,179
Hostiles,0,82,0,82
Zoolander 2,137,190,3,330
Defiance,191,0,0,191
Hannibal Rising,0,0,24,24
The Host,8,0,0,8
Basic,98,234,62,394
Run All Night,323,20,65,408
Blood Work,70,31,47,148
The International,99,1,0,100
Twisted,54,122,96,272
All the Money in the World,1,0,265,266
The Life Aquatic with Steve Zissou,100,78,47,225
Your Highness,38,110,44,192
Snowden,56,147,0,203
Dream House,99,45,7,151
Free State of Jones,91,0,0,91
Gamer,194,0,0,194
Man of the House,96,0,0,96
The Life of David Gale,32,0,0,32
Beautiful Creatures,0,71,38,109
Into the Blue,86,0,0,86
Eastern Promises,0,71,0,71
Drive Angry,170,0,0,170
Domino,303,0,0,303
Street Fighter: The Legend of Chun-Li,0,0,0,0
Death to Smoochy,56,153,0,209
Early Man,93,182,0,275
The Boat That Rocked,59,100,35,194
The Big Bounce,78,208,0,286
What Planet Are You From?,0,0,0,0
Liu Lang Di Qiu,0,0,0,0
Arctic Dogs,162,0,26,188
Child 44,50,0,83,133
Outlander,0,0,57,57
Upside Down,0,0,0,0
Shanghai,108,0,0,108
Dora and the Lost City of Gold,0,75,96,171
The One,58,0,0,58
Chappie,0,44,303,347
Anna Karenina,0,302,37,339
The Ring,0,0,0,0
Traffic,0,0,0,0
Panic Room,33,0,0,33
Taken 3,323,56,80,459
Zombieland: Double Tap,275,73,84,432
Instant Family,297,21,0,318
Tooth Fairy,108,0,0,108
Rat Race,0,43,0,43
3:10 to Yuma,54,222,0,276
K-PAX,162,43,0,205
Kate and Leopold,239,92,0,331
Bedazzled,0,0,0,0
Charlie’s Angels,0,40,0,40
Rambo,68,0,0,68
The Infiltrator,0,0,0,0
Arrival,69,229,56,354
Earth,0,94,0,94
Riding in Cars with Boys,257,0,0,257
Happily N'Ever After,0,147,0,147
Solaris,306,0,0,306
Jonah Hex,68,193,61,322
Silence,92,100,159,351
America's Sweethearts,349,118,78,545
Insomnia,110,56,1,167
Prisoners,164,168,71,403
Arthur and the War of Two Worlds,0,0,0,0
Taken 2,101,0,0,101
Scary Movie 3,157,0,67,224
Miss Congeniality,0,0,0,0
Pitch Perfect 3,74,169,74,317
Journey to the Center of the Earth,0,76,0,76
The Princess Diaries 2: Royal Engagement,74,0,74,148
The Bucket List,87,88,0,175
The Muppets,199,35,0,234
Monster-in-Law,146,0,0,146
Training Day,291,0,82,373
The Girl on the Train,94,0,0,94
Scary Movie 2,90,90,0,180
Coach Carter,122,0,0,122
The Bounty Hunter,142,321,0,463
Changing Lanes,237,197,0,434
Underworld: Evolution,123,45,88,256
A Beautiful Day in the Neighborhood,174,0,0,174
Coyote Ugly,0,0,0,0
Love Actually,80,0,0,80
Office Christmas Party,85,0,0,85
"Yours, Mine and Ours",164,0,0,164
Kicking and Screaming,158,38,0,196
The Hitchhiker's Guide to the Galaxy,0,0,22,22
Resident Evil: Extinction,59,0,0,59
Fat Albert,0,0,0,0
Savages,37,0,54,91
Blended,192,0,81,273
All Eyez on Me,0,0,0,0
Last Holiday,95,0,0,95
16 Blocks,140,0,0,140
Cellular,0,38,90,128
Doctor Sleep,56,199,0,255
The Ant Bully,51,130,207,388
Johnny English,54,0,0,54
Aliens in the Attic,81,53,0,134
Across the Universe,0,0,0,0
Revolutionary Road,162,82,0,244
Babylon A.D.,81,0,0,81
Richard Jewell,0,44,0,44
UglyDolls,0,96,63,159
The Pledge,0,0,0,0
The Producers: The Movie Musical,0,41,140,181
Rebound,91,0,77,168
The Ghost Writer,16,96,0,112
All the Pretty Horses,0,0,0,0
Bangkok Dangerous,284,0,0,284
Dredd,88,3,0,91
The Rum Diary,260,0,0,260
Welcome to Marwen,45,0,0,45
Bloodshot,272,60,6,338
Johnny English Reborn,0,0,0,0
Miracle at St. Anna,0,0,0,0
Big Trouble,59,81,8,148
Man cheng jin dai huang jin jia,0,0,0,0
Love in the Time of Cholera,0,0,0,0
Pinocchio,0,0,0,0
Argo,149,0,0,149
Charlie St. Cloud,140,0,0,140
The Interview,219,120,0,339
The Heat,0,0,81,81
Finding Forrester,0,0,0,0
28 Days,0,0,0,0
Danny the Dog,90,0,227,317
The Sweetest Thing,154,0,0,154
The Girl in the Spider’s Web,0,0,0,0
A Monster Calls,0,0,39,39
The Mechanic,153,0,0,153
21 Jump Street,57,130,0,187
Little Women,16,99,0,115
Chicken Run,0,0,0,0
Along Came Polly,83,0,0,83
Brüno,86,0,0,86
Snatched,47,0,0,47
Here Comes the Boom,210,0,0,210
High Crimes,0,64,118,182
Red Riding Hood,122,0,0,122
The Mothman Prophecies,147,0,0,147
Holmes & Watson,151,0,0,151
One for the Money,194,0,0,194
15 Minutes,291,99,0,390
Lord of War,155,21,0,176
Man on a Ledge,190,0,85,275
The Warrior's Way,0,55,100,155
Micmacs,0,0,0,0
Pourquoi j'ai pas mangé mon père,0,0,0,0
8 Mile,0,0,19,19
Rocketman,91,0,0,91
A Knight’s Tale,0,35,0,35
The Medallion,192,0,0,192
The Big Year,248,145,21,414
Wedding Crashers,100,176,114,390
The Karate Kid,131,0,4,135
John Wick: Chapter 3 — Parabellum,46,0,0,46
Fifty Shades of Grey,0,0,0,0
Knives Out,0,200,65,265
The Proposal,88,12,0,100
American Hustle,171,103,340,614
Cheaper by the Dozen,0,0,0,0
Lucy,138,276,0,414
Lone Survivor,221,166,3,390
Spy Kids 3-D: Game Over,145,0,145,290
The Conjuring 2: The Enfield Poltergeist,78,0,0,78
The Social Network,41,14,0,55
Julie & Julia,93,203,0,296
He's Just Not That Into You,0,161,75,236
John Wick: Chapter Two,6,0,0,6
Ride Along 2,48,92,0,140
Scary Movie 4,64,0,0,64
Get Hard,84,81,0,165
Scream 3,0,0,0,0
The Accountant,82,74,0,156
Dumb and Dumber To,66,0,0,66
The Other Woman,100,37,0,137
Eight Below,86,85,0,171
The Intern,52,84,0,136
Ray,0,0,0,0
Sin City,0,131,40,171
Bridge of Spies,145,0,0,145
Vantage Point,28,0,0,28
"I Love You, Man",36,0,0,36
Shallow Hal,0,247,11,258
Big Momma's House 2,91,0,0,91
Angel Has Fallen,159,0,0,159
The House with a Clock in its Walls,149,93,0,242
Hacksaw Ridge,92,66,43,201
The Mexican,153,349,0,502
The Final Destination,0,0,0,0
17 Again,81,0,0,81
Unknown,134,83,0,217
Get Him to the Greek,92,0,0,92
Gothika,95,52,0,147
Behind Enemy Lines,116,0,0,116
The Lincoln Lawyer,85,0,0,85
Shall We Dance?,181,152,9,342
Invincible,116,25,63,204
Escape From Planet Earth,0,125,162,287
Horrible Bosses 2,138,166,70,374
The Count of Monte Cristo,0,21,0,21
The Prestige,177,178,128,483
The Lake House,366,101,0,467
Predators,0,55,0,55
The Odd Life of Timothy Green,109,0,0,109
Apocalypto,0,0,0,0
Music and Lyrics,0,81,0,81
Secret Window,238,0,0,238
The Skeleton Key,10,0,0,10
Jersey Boys,0,0,0,0
Made of Honor,86,53,0,139
A Million Ways to Die in The West,0,82,286,368
Final Destination 5,0,0,0,0
Widows,91,98,94,283
Fever Pitch,159,0,0,159
Aliens vs. Predator - Requiem,0,0,0,0
The Water Horse: Legend of the Deep,0,0,0,0
Sex Tape,57,100,0,157
Scream 4,0,0,0,0
Autumn in New York,0,0,0,0
Paul,88,0,61,149
The Guilt Trip,80,99,0,179
Colombiana,188,0,0,188
The Commuter,81,71,71,223
Hanging Up,0,0,0,0
The Spy Who Dumped Me,0,0,0,0
Pay it Forward,0,0,0,0
Arthur,34,108,109,251
Drillbit Taylor,148,0,0,148
Patriots Day,344,70,0,414
Extremely Loud and Incredibly Close,0,92,161,253
Transporter 3,37,0,0,37
Morning Glory,73,99,18,190
Get Rich or Die Tryin',0,0,0,0
Long Shot,169,21,0,190
The Art of War,0,0,0,0
Grudge Match,191,149,0,340
Bless the Child,0,0,0,0
Rent,0,0,0,0
The Nut Job 2: Nutty by Nature,66,0,87,153
The Musketeer,0,0,86,86
Resident Evil: The Final Chapter,0,0,0,0
The Other Boleyn Girl,175,120,63,358
The House,104,32,0,136
Sweet November,149,73,0,222
The Reaping,83,0,93,176
Season of the Witch,170,57,0,227
City by the Sea,329,0,0,329
Mechanic: Resurrection,126,0,0,126
Torque,0,48,0,48
Fantastic Mr. Fox,190,203,0,393
The Happytime Murders,131,74,0,205
Big Miracle,64,7,0,71
The Impossible,7,27,0,34
A Thousand Words,51,0,0,51
Detroit,100,100,0,200
Marie Antoinette,102,0,0,102
Hunter Killer,150,42,3,195
Get Carter,0,0,0,0
Keeping Up with the Joneses,109,160,0,269
"Life, or Something Like It",283,30,42,355
Amelia,75,28,0,103
Cirque du Freak: The Vampire's Assistant,0,49,0,49
New York Minute,0,0,172,172
Alfie,207,0,9,216
FearDotCom,0,0,0,0
Soul Men,94,137,0,231
The Gunman,35,176,0,211
Pandorum,53,0,0,53
Duplex,199,96,0,295
Paranoia,0,18,68,86
Baahubali: The Beginning,0,0,0,0
The Hurricane Heist,93,0,0,93
Impostor,0,0,62,62
Victor Frankenstein,40,95,0,135
The Goldfinch,36,60,96,192
Extreme Ops,0,65,0,65
Just Visiting,155,0,0,155
Snowpiercer,184,85,92,361
Sunshine,46,0,17,63
Billy Lynn’s Long Halftime Walk,0,50,0,50
Delgo,0,0,0,0
The Hunting Party,57,0,0,57
Alex Rider: Operation Stormbreaker,0,71,0,71
Red Cliff,0,0,0,0
Un monstre à Paris,0,0,0,0
Solomon Kane,0,0,0,0
Kursk,0,0,0,0
USS Indianapolis: Men of Courage,0,0,0,0
Dragon Nest Warriors' Dawn,0,0,0,0
The Time Traveler’s Wife,26,0,0,26
Because I Said So,41,0,0,41
Frankenweenie,0,0,0,0
Serenity,0,0,0,0
Shoot 'Em Up,316,55,51,422
Against the Ropes,45,0,0,45
Yi dai zong shi,0,0,0,0
The Fast and the Furious,30,43,0,73
Sweet Home Alabama,123,0,0,123
The Ugly Truth,132,194,0,326
Spy Kids 2: The Island of Lost Dreams,0,79,126,205
Captain Underpants: The First Epic Movie,185,0,30,215
Paul Blart: Mall Cop 2,76,0,0,76
Why Him?,0,132,0,132
Water for Elephants,281,62,83,426
Life as We Know It,203,0,0,203
Riddick,94,0,0,94
Heartbreakers,59,0,116,175
Enough,117,0,0,117
The 5th Wave,26,0,0,26
Push,15,65,97,177
Rush,0,275,100,375
Angel Eyes,115,0,0,115
Joe Somebody,59,0,0,59
Overlord,0,0,0,0
The Ninth Gate,0,0,0,0
Only the Brave,13,64,33,110
The Thing,0,0,0,0
Rock Star,86,21,0,107
The Kitchen,64,72,0,136
City of Ember,0,0,0,0
The Sisters Brothers,0,0,111,111
Texas Rangers,43,49,48,140
Virgin Territory,99,0,0,99
The Upside,222,26,96,344
What to Expect When You're Expecting,185,0,0,185
The Master,0,0,249,249
The Express,0,28,0,28
Twilight,0,0,0,0
We’re the Millers,94,191,0,285
Creed,38,170,0,208
The Town,99,0,0,99
Dolphin Tale,116,0,0,116
Game Night,23,127,0,150
Burn After Reading,240,0,172,412
13 Going On 30,78,0,0,78
Tyler Perry’s Temptation,0,0,0,0
Nim's Island,183,157,43,383
How to be Single,115,153,58,326
Cop Out,151,24,0,175
The Rite,0,52,0,52
Space Chimps,0,0,0,0
Aloha,306,81,62,449
A Star is Born,0,27,0,27
Gnomeo and Juliet,86,52,0,138
John Q.,263,0,0,263
Hot Tub Time Machine,152,0,0,152
Dolphin Tale 2,276,30,30,336
Collateral Beauty,125,79,0,204
A Man Apart,198,0,0,198
Reindeer Games,0,0,0,0
Isn't She Great,0,0,0,0
Yip Man 3,0,0,0,0
There Be Dragons,0,0,0,0
Queen of the Desert,0,132,95,227
Head of State,101,0,0,101
It,0,0,0,0
The Hangover,0,0,0,0
The Blind Side,0,88,0,88
True Grit,109,229,0,338
Identity Thief,83,81,0,164
The Devil Wears Prada,63,24,0,87
Horrible Bosses,63,0,0,63
Spy Kids,0,0,133,133
Trainwreck,0,0,0,0
Saving Mr. Banks,38,42,0,80
21,0,0,0,0
What Happens in Vegas...,114,91,0,205
Hotel for Dogs,0,0,0,0
Guess Who,39,123,26,188
This is 40,65,36,0,101
Sky High,22,0,0,22
A Nightmare on Elm Street,0,0,26,26
The Cell,0,0,0,0
The Benchwarmers,0,5,0,5
Secretariat,33,61,0,94
Friends with Benefits,0,63,0,63
Neighbors 2: Sorority Rising,116,124,72,312
TMNT,94,0,17,111
Radio,169,0,0,169
Sicario: Day of the Soldado,0,13,0,13
Old Dogs,153,155,0,308
Poltergeist,0,0,0,0
Goosebumps 2: Haunted Halloween,0,0,0,0
12 Strong,314,0,93,407
Underworld 3: Rise of the Lycans,0,0,100,100
Must Love Dogs,84,63,0,147
License to Wed,0,0,132,132
Max Payne,91,0,0,91
Resident Evil,0,82,0,82
The Ladykillers,167,67,0,234
Something Borrowed,64,100,0,164
The Nativity Story,3,0,0,3
In Time,63,122,0,185
The Back-up Plan,0,0,0,0
J. Edgar,252,0,7,259
Bounce,0,0,0,0
Mile 22,297,0,0,297
Hot Pursuit,50,0,0,50
Concussion,159,10,0,169
The Foreigner,0,92,0,92
Closer,97,207,0,304
Black Knight,147,0,0,147
The Bad News Bears,50,25,0,75
The Pianist,0,0,0,0
House of Wax,28,0,0,28
From Hell,189,165,0,354
Adrift,123,59,0,182
Mirrors,0,0,0,0
Underworld: Blood Wars,0,148,0,148
Queen of the Damned,58,0,0,58
Nanny McPhee and the Big Bang,0,0,143,143
Untraceable,16,0,0,16
Abduction,343,0,0,343
Superhero Movie,0,0,0,0
Alex Cross,45,0,84,129
Jersey Girl,351,0,0,351
Bridget Jones’s Baby,0,0,0,0
Heist,116,0,0,116
Whiskey Tango Foxtrot,32,57,196,285
Ella Enchanted,74,0,0,74
Hitman: Agent 47,0,0,87,87
Phantom Thread,0,0,0,0
The X-Files: I Want to Believe,0,0,0,0
Premium Rush,175,0,0,175
Broken City,221,181,0,402
Valiant,153,0,0,153
Wonder Boys,0,0,0,0
Cursed,0,0,0,0
Walk Hard: The Dewey Cox Story,0,0,0,0
The Four Feathers,60,0,25,85
Furry Vengeance,180,0,0,180
Parker,172,45,0,217
Wimbledon,61,82,0,143
Bait,0,0,0,0
Dungeons and Dragons,0,0,0,0
Lions for Lambs,270,113,0,383
The Tree of Life,229,10,0,239
American Outlaws,0,43,158,201
Playing for Keeps,175,114,79,368
Zoom,42,0,0,42
The Shipping News,162,75,0,237
The Young Victoria,0,0,0,0
Sabotage,34,74,4,112
Whiteout,134,0,0,134
Unfinished Business,26,79,166,271
The Walk,56,19,0,75
The Fountain,178,34,24,236
Mandela: Long Walk to Freedom,106,0,0,106
Punisher: War Zone,0,0,0,0
The Order,60,35,0,95
A Good Year,136,0,0,136
The Brothers Grimsby,0,83,153,236
The Snowman,247,0,0,247
Femme Fatale,0,126,0,126
Luther,58,0,0,58
Biutiful,39,0,0,39
A Hologram for the King,158,0,0,158
Stolen,197,130,0,327
Trespass,170,77,0,247
Bandidas,0,46,0,46
The Darkest Hour,35,0,0,35
Baby Driver,74,60,0,134
The Maze Runner,0,0,72,72
The Longest Ride,0,0,0,0
Gake no ue no Ponyo,270,304,74,648
The Darkest Minds,3,7,0,10
I Dreamed of Africa,0,0,0,0
Thunder and the House of Magic,0,0,0,0
Big Momma's House,0,0,0,0
Exit Wounds,0,0,0,0
Mike and Dave Need Wedding Dates,72,0,74,146
Step Up Revolution,0,0,0,0
Snakes on a Plane,115,0,0,115
The Punisher,31,102,0,133
The Watcher,0,0,0,0
21 Bridges,336,0,0,336
Safe,96,0,0,96
Doomsday,0,22,0,22
Goal! The Dream Begins,0,0,0,0
Bridesmaids,0,0,0,0
The Reader,82,133,0,215
The Big Wedding,191,5,123,319
Wanderlust,255,65,130,450
Elf,15,0,0,15
This is the End,93,98,76,267
Snow Dogs,105,0,0,105
Nacho Libre,58,0,0,58
Takers,0,71,0,71
Source Code,124,105,61,290
Men of Honor,0,0,0,0
I Feel Pretty,47,81,0,128
The Transporter 2,107,0,0,107
"Big Mommas: Like Father, Like Son",4,0,63,67
The Number 23,192,28,0,220
Dreamer: Inspired by a True Story,22,61,0,83
Bombshell,169,96,168,433
A History of Violence,250,0,12,262
The Incredible Burt Wonderstone,129,0,0,129
Laws of Attraction,95,112,0,207
Bad Times at the El Royale,0,0,207,207
Going the Distance,126,64,0,190
Repo Men,107,66,0,173
Dragon Wars: D-War,0,0,0,0
The Good German,189,78,162,429
Criminal,42,76,0,118
La ch'tite famille,0,0,0,0
42,0,0,68,68
Flight,171,0,94,265
The Grand Budapest Hotel,174,0,0,174
Vacation,82,0,79,161
Isn’t it Romantic,67,80,0,147
Frequency,0,0,0,0
Hearts in Atlantis,114,0,0,114
Extraordinary Measures,180,70,99,349
Birth of the Dragon,0,71,0,71
Crazy Rich Asians,0,0,34,34
Chicago,118,235,147,500
American Pie 2,86,134,90,310
The Vow,167,130,0,297
Lee Daniels' The Butler,0,0,12,12
Remember the Titans,0,0,0,0
District 9,0,0,0,0
Dodgeball: A True Underdog Story,83,0,66,149
The Princess Diaries,0,0,0,0
Million Dollar Baby,30,0,208,238
Mystic River,0,62,0,62
Sisters,36,0,67,103
SpongeBob SquarePants: The Movie,0,0,0,0
The Notebook,0,0,0,0
Hannah Montana: The Movie,20,0,0,20
27 Dresses,76,86,0,162
Rugrats in Paris,0,0,0,0
The Hitman’s Bodyguard,92,393,0,485
Four Brothers,74,86,0,160
Looper,175,116,91,382
Warm Bodies,0,0,62,62
About Schmidt,5,0,0,5
The Nut Job,0,0,286,286
Down to Earth,35,0,0,35
Hope Springs,131,84,129,344
Forgetting Sarah Marshall,0,0,0,0
Friday Night Lights,80,0,0,80
Baby Mama,0,0,0,0
Bride Wars,102,162,0,264
Without a Paddle,129,128,0,257
Midnight in Paris,248,78,66,392
Darkest Hour,0,89,0,89
Wallace & Gromit: The Curse of the Were-Rabbit,0,56,70,126
"P.S., I Love You",83,66,0,149
Corpse Bride,233,56,0,289
Life of the Party,131,0,0,131
Letters to Juliet,96,0,0,96
Blow,189,0,5,194
Southpaw,38,81,0,119
Atomic Blonde,142,182,71,395
Like Mike,0,0,2,2
Atonement,176,0,0,176
Racing Stripes,42,0,69,111
Sicario,81,126,0,207
Den of Thieves,150,0,62,212
The Three Stooges,0,0,0,0
Pokemon 2000,0,0,0,0
John Wick,50,97,0,147
Glory Road,29,18,0,47
The Age of Adaline,16,0,131,147
Step Up 3D,0,0,0,0
Drag Me To Hell,0,0,0,0
The Cabin in the Woods,0,86,0,86
Secondhand Lions,116,88,0,204
Stranger Than Fiction,232,88,94,414
Hanna,0,267,91,358
Blue Crush,0,82,0,82
30 Days of Night,2,0,0,2
Gridiron Gang,60,0,0,60
Meet the Spartans,0,0,0,0
The Family,191,117,0,308
The 15:17 to Paris,0,0,0,0
Larry Crowne,92,160,0,252
Carrie,170,46,0,216
Last Christmas,0,0,0,0
Take the Lead,185,0,0,185
Death Wish,0,45,0,45
Love and Other Drugs,36,122,56,214
Entourage,0,0,33,33
What's the Worst That Could Happen?,147,0,0,147
Side Effects,77,229,203,509
9,0,75,0,75
Deliver Us from Evil,0,0,0,0
Get on Up,27,0,0,27
Molly’s Game,51,75,105,231
The Five-Year Engagement,92,91,0,183
The Prince & Me,0,0,0,0
Winnie the Pooh,0,0,0,0
Dumb and Dumberer: When Harry Met Lloyd,0,38,87,125
White Boy Rick,31,0,0,31
Sanctum,0,0,0,0
My Super Ex-Girlfriend,164,39,64,267
Ballerina,0,0,0,0
Mr. 3000,32,0,0,32
The Next Three Days,183,8,74,265
Proud Mary,63,0,0,63
Sleepless,75,70,0,145
Little Black Book,0,0,0,0
Assault On Precinct 13,21,0,39,60
Nine Lives,0,26,0,26
Runner Runner,120,170,85,375
Baahubali 2: The Conclusion,0,0,0,0
Ultraviolet,59,0,0,59
North Country,74,0,0,74
Fright Night,88,14,0,102
mother!,466,0,3,469
Steve Jobs,98,0,116,214
Eight Legged Freaks,98,0,0,98
Splice,0,0,0,0
88 Minutes,85,0,0,85
The Whole Ten Yards,88,0,0,88
Pride and Glory,0,74,0,74
The Cave,79,29,0,108
Godsend,166,44,0,210
Alex & Emma,47,25,0,72
Wicker Park,230,0,129,359
The New World,228,0,0,228
Evening,0,75,0,75
The Last Stand,0,0,0,0
Café Society,79,0,124,203
Antitrust,55,69,49,173
Dead Man Down,134,172,0,306
Hoodwinked Too: Hood vs. Evil,0,0,0,0
Dragonball Evolution,0,0,24,24
First Daughter,0,0,0,0
The Lost City of Z,5,0,88,93
An Unfinished Life,146,0,227,373
The Space Between Us,0,68,0,68
Anna,0,57,99,156
The Imaginarium of Doctor Parnassus,0,0,100,100
Barney's Version,0,0,0,0
Trapped,6,113,0,119
The Current War: Director’s Cut,190,0,0,190
Kin,0,0,0,0
Johnny English Strikes Again,0,0,0,0
Stronger,85,0,0,85
Replicas,46,0,0,46
The Assassination of Jesse James by the Coward …,339,0,0,339
The Merchant of Venice,111,58,0,169
