title_x,tomatometer_score,audience_score_rt,original_language,MPA_Ratings,release_date_x,budget_x,domestic_gross_x,worldwide_gross_x,release_date,budget,domestic_gross,worldwide_gross,title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Poms,36.0,73.0,English,PG-13,2019-05-10,10000000,13631124,16463241,2019-05-10,10000000,13631124,16463241,Poms,6.0,Diane Keaton,Jacki Weaver,Celia Weston,https://www.imdb.com/title/tt5125894/,tt5125894,Zara Hayes
The Matador,75.0,65.0,English,R,2005-12-30,10000000,12589255,17300838,2005-12-30,10000000,12589255,17300838,The Matador,6.7,Pierce Brosnan,Greg Kinnear,Hope Davis,https://www.imdb.com/title/tt0365485/,tt0365485,Richard Shepard
The Gift,91.0,75.0,English,R,2000-12-19,10000000,12008642,44567606,2000-12-19,10000000,12008642,44567606,The Gift,6.7,Cate Blanchett,Katie Holmes,Keanu Reeves,https://www.imdb.com/title/tt0219699/,tt0219699,Joel Edgerton
End of the Spear,41.0,82.0,English,PG-13,2006-01-20,10000000,11748661,11924041,2006-01-20,10000000,11748661,11924041,End of the Spear,6.8,Louie Leonardo,Chad Allen,Jack Guzman,https://www.imdb.com/title/tt0399862/,tt0399862,Jim Hanon
Get Over It,43.0,51.0,English,PG-13,2001-03-09,10000000,11560259,19860259,2001-03-09,10000000,11560259,19860259,Get Over It,5.7,Kirsten Dunst,Ben Foster,Melissa Sagemiller,https://www.imdb.com/title/tt0192071/,tt0192071,Tommy O'Haver
The Legend of Drunken Master,84.0,88.0,Chinese,R,2000-10-20,10000000,11546543,11546543,2000-10-20,10000000,11546543,11546543,The Legend of Drunken Master,7.6,Jackie Chan,Ho-Sung Pak,Lung Ti,https://www.imdb.com/title/tt0111512/,tt0111512,Chia-Liang Liu
The Beguiled,79.0,48.0,English,R,2017-06-23,10000000,10576669,28039038,2017-06-23,10000000,10576669,28039038,The Beguiled,6.3,Nicole Kidman,Kirsten Dunst,Elle Fanning,https://www.imdb.com/title/tt5592248/,tt5592248,Sofia Coppola
The Best of Enemies,53.0,76.0,English,PG-13,2019-04-05,10000000,10205616,10268749,2019-04-05,10000000,10205616,10268749,The Best of Enemies,7.3,Taraji P. Henson,Sam Rockwell,Babou Ceesay,https://www.imdb.com/title/tt4807408/,tt4807408,Robin Bissell
Sleepover,15.0,54.0,English,PG,2004-07-09,10000000,9408183,9424052,2004-07-09,10000000,9408183,9424052,Sleepover,5.3,Alexa PenaVega,Mika Boorem,Scout Taylor-Compton,https://www.imdb.com/title/tt0368975/,tt0368975,Joe Nussbaum
Movie 43,4.0,24.0,English,R,2012-02-08,10000000,8840453,31164747,2012-02-08,10000000,8840453,31164747,Movie 43,4.3,Emma Stone,Stephen Merchant,Richard Gere,https://www.imdb.com/title/tt1333125/,tt1333125,Elizabeth Banks
Can You Ever Forgive Me?,98.0,81.0,English,R,2018-10-19,10000000,8803865,12517379,2018-10-19,10000000,8803865,12517379,Can You Ever Forgive Me?,7.1,Melissa McCarthy,Richard E. Grant,Dolly Wells,https://www.imdb.com/title/tt4595882/,tt4595882,Marielle Heller
MacGruber,48.0,35.0,English,R,2010-05-21,10000000,8525600,8629895,2010-05-21,10000000,8525600,8629895,MacGruber,5.6,Will Forte,Kristen Wiig,Val Kilmer,https://www.imdb.com/title/tt1470023/,tt1470023,
Dirty Pretty Things,94.0,82.0,English,R,2003-07-18,10000000,8112414,14156753,2003-07-18,10000000,8112414,14156753,Dirty Pretty Things,7.3,Chiwetel Ejiofor,Audrey Tautou,Sophie Okonedo,https://www.imdb.com/title/tt0301199/,tt0301199,Stephen Frears
Bad Words,65.0,61.0,English,R,2014-03-14,10000000,7779614,7843145,2014-03-14,10000000,7779614,7843145,Bad Words,6.6,Jason Bateman,Kathryn Hahn,Allison Janney,https://www.imdb.com/title/tt2170299/,tt2170299,Jason Bateman
While We're Young,84.0,51.0,English,R,2015-03-27,10000000,7582065,17503828,2015-03-27,10000000,7582065,17503828,While We're Young,6.3,Ben Stiller,Naomi Watts,Adam Driver,https://www.imdb.com/title/tt1791682/,tt1791682,Noah Baumbach
Over Her Dead Body,14.0,42.0,English,PG-13,2008-02-01,10000000,7570127,21596074,2008-02-01,10000000,7570127,21596074,Over Her Dead Body,5.2,Eva Longoria,Paul Rudd,Lake Bell,https://www.imdb.com/title/tt0785007/,tt0785007,Jeff Lowell
Bones,25.0,40.0,Frank Pestarino,R,2001-10-24,10000000,7316658,8378853,2001-10-24,10000000,7316658,8378853,Bones,4.3,Snoop Dogg,Pam Grier,Michael T. Weiss,https://www.imdb.com/title/tt0166110/,tt0166110,
Seeking a Friend for the End of the World,55.0,53.0,English,R,2012-06-22,10000000,7078738,11766959,2012-06-22,10000000,7078738,11766959,Seeking a Friend for the End of the World,6.7,Steve Carell,Keira Knightley,Melanie Lynskey,https://www.imdb.com/title/tt1307068/,tt1307068,Lorene Scafaria
Turistas,19.0,28.0,English,R,2006-12-01,10000000,7027762,14321070,2006-12-01,10000000,7027762,14321070,Turistas,5.4,Josh Duhamel,Melissa George,Olivia Wilde,https://www.imdb.com/title/tt0454970/,tt0454970,John Stockwell
Shut In,63.0,97.0,D.J. Caruso,,2016-03-17,10000000,6900335,11360665,2016-03-17,10000000,6900335,11360665,Shut In,4.7,Naomi Watts,Charlie Heaton,Jacob Tremblay,https://www.imdb.com/title/tt2582500/,tt2582500,D.J. Caruso
Cedar Rapids,86.0,59.0,English,R,2011-02-11,10000000,6861102,7862131,2011-02-11,10000000,6861102,7862131,Cedar Rapids,6.3,Ed Helms,John C. Reilly,Anne Heche,https://www.imdb.com/title/tt1477837/,tt1477837,Miguel Arteta
