title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Bridget Jones’s Baby,6.5,Renée Zellweger,Gemma Jones,Jim Broadbent,https://www.imdb.com/title/tt1473832/,tt1473832,Sharon Maguire
Heist,6.5,Gene Hackman,Rebecca Pidgeon,Danny DeVito,https://www.imdb.com/title/tt0252503/,tt0252503,David Mamet
Whiskey Tango Foxtrot,6.6,Tina Fey,Margot Robbie,Martin Freeman,https://www.imdb.com/title/tt3553442/,tt3553442,Glenn Ficarra
Ella Enchanted,6.3,Anne Hathaway,Hugh Dancy,Cary Elwes,https://www.imdb.com/title/tt0327679/,tt0327679,Tommy O'Haver
Hitman: Agent 47,5.7,Rupert Friend,Hannah Ware,Zachary Quinto,https://www.imdb.com/title/tt2679042/,tt2679042,Aleksander Bach
Phantom Thread,7.5,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,https://www.imdb.com/title/tt5776858/,tt5776858,Paul Thomas Anderson
The X-Files: I Want to Believe,5.9,David Duchovny,Gillian Anderson,Billy Connolly,https://www.imdb.com/title/tt0443701/,tt0443701,Chris Carter
Premium Rush,6.5,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,https://www.imdb.com/title/tt1547234/,tt1547234,David Koepp
Broken City,6.1,Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones,https://www.imdb.com/title/tt1235522/,tt1235522,Allen Hughes
Valiant,5.5,Ewan McGregor,Ricky Gervais,Tim Curry,https://www.imdb.com/title/tt0361089/,tt0361089,Gary Chapman
Wonder Boys,7.3,Michael Douglas,Tobey Maguire,Frances McDormand,https://www.imdb.com/title/tt0185014/,tt0185014,Curtis Hanson
Cursed,5.0,Christina Ricci,Jesse Eisenberg,Portia de Rossi,https://www.imdb.com/title/tt0257516/,tt0257516,
Walk Hard: The Dewey Cox Story,6.8,John C. Reilly,Jenna Fischer,David Krumholtz,https://www.imdb.com/title/tt0841046/,tt0841046,Jake Kasdan
The Four Feathers,6.5,Heath Ledger,Wes Bentley,Kate Hudson,https://www.imdb.com/title/tt0240510/,tt0240510,Shekhar Kapur
Furry Vengeance,3.8,Brendan Fraser,Brooke Shields,Ricky Garcia,https://www.imdb.com/title/tt0492389/,tt0492389,Roger Kumble
Parker,6.2,Jason Statham,Jennifer Lopez,Michael Chiklis,https://www.imdb.com/title/tt1904996/,tt1904996,Taylor Hackford
Wimbledon,6.3,Kirsten Dunst,Paul Bettany,Jon Favreau,https://www.imdb.com/title/tt0360201/,tt0360201,Richard Loncraine
Bait,5.7,Jamie Foxx,David Morse,Robert Pastorelli,https://www.imdb.com/title/tt0211938/,tt0211938,Kimble Rendall
Dungeons and Dragons,3.6,Justin Whalin,Jeremy Irons,Zoe McLellan,https://www.imdb.com/title/tt0190374/,tt0190374,Courtney Solomon
Lions for Lambs,6.2,Tom Cruise,Meryl Streep,Robert Redford,https://www.imdb.com/title/tt0891527/,tt0891527,Robert Redford
The Tree of Life,6.8,Brad Pitt,Sean Penn,Jessica Chastain,https://www.imdb.com/title/tt0478304/,tt0478304,Terrence Malick
American Outlaws,5.9,Colin Farrell,Scott Caan,Ali Larter,https://www.imdb.com/title/tt0244000/,tt0244000,Les Mayfield
Playing for Keeps,5.7,Gerard Butler,Jessica Biel,Dennis Quaid,https://www.imdb.com/title/tt1540128/,tt1540128,Gabriele Muccino
Zoom,4.3,Tim Allen,Courteney Cox,Chevy Chase,https://www.imdb.com/title/tt0383060/,tt0383060,Peter Hewitt
The Shipping News,6.7,Kevin Spacey,Julianne Moore,Judi Dench,https://www.imdb.com/title/tt0120824/,tt0120824,Lasse Hallström
The Young Victoria,7.2,Emily Blunt,Rupert Friend,Paul Bettany,https://www.imdb.com/title/tt0962736/,tt0962736,Jean-Marc Vallée
Sabotage,5.7,Arnold Schwarzenegger,Sam Worthington,Terrence Howard,https://www.imdb.com/title/tt1742334/,tt1742334,David Ayer
Whiteout,5.5,Kate Beckinsale,Gabriel Macht,Tom Skerritt,https://www.imdb.com/title/tt0365929/,tt0365929,Dominic Sena
