rating_check,runtime,genre
7.0,['122'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.6,['119'],"['Adventure', 'Family', 'Fantasy']"
8.0,['164'],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
6.2,['128'],"['Action', 'Adventure', 'Sci-Fi']"
6.9,['128'],"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
7.9,['130'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
6.9,['143'],"['Adventure', 'Family', 'Fantasy']"
7.0,['97'],"['Adventure', 'Family', 'Fantasy', 'Romance']"
7.3,['132'],"['Adventure', 'Family', 'Fantasy']"
8.4,['98'],"['Animation', 'Adventure', 'Family', 'Sci-Fi']"
6.2,['91'],"['Action', 'Comedy', 'Crime', 'Thriller']"
6.2,['110'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
7.5,['126'],"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery']"
6.5,['136'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
5.3,['127'],"['Action', 'Adventure', 'Sci-Fi']"
7.7,['147'],"['Action', 'Adventure', 'Thriller']"
6.9,['144'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['113'],"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
7.9,['113'],"['Action', 'Adventure', 'Sci-Fi']"
6.8,['123'],"['Action', 'Adventure', 'Sci-Fi']"
7.4,['106'],"['Adventure', 'Drama', 'Family', 'Fantasy']"
8.2,['95'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
7.4,['133'],"['Action', 'Adventure', 'Sci-Fi']"
5.9,['123'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
8.3,['96'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
8.4,['105'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Mystery']"
7.0,['112'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
6.5,['94'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
6.7,['102'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
5.7,['118'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
5.2,['112'],"['Action', 'Fantasy', 'Horror', 'War']"
5.4,['96'],"['Comedy', 'Family', 'Fantasy']"
6.7,['126'],"['Action', 'Adventure', 'Drama', 'Fantasy']"
6.2,['128'],"['Action', 'Drama', 'Fantasy']"
6.2,['128'],"['Action', 'Adventure', 'Sci-Fi']"
8.1,['121'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
7.0,['124'],"['Action', 'Adventure', 'Sci-Fi']"
7.8,['136'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7.6,['130'],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
6.6,['100'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
6.1,['127'],"['Action', 'Adventure', 'Drama', 'Fantasy']"
6.3,['109'],"['Action', 'Sci-Fi']"
6.0,['131'],"['Action', 'Adventure', 'Fantasy', 'Thriller']"
6.3,['112'],"['Adventure', 'Family', 'Fantasy']"
6.0,['132'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.4,['130'],"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
7.3,['122'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.2,['113'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
6.3,['93'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
7.5,['115'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
7.8,['102'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
8.1,['98'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
7.7,['101'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
8.7,['169'],"['Adventure', 'Drama', 'Sci-Fi']"
5.2,['120'],"['Action', 'Adventure', 'Sci-Fi']"
6.0,['119'],"['Action', 'Sci-Fi', 'Thriller', 'Western']"
7.1,['129'],"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']"
7.4,['129'],"['Action', 'Adventure', 'Sci-Fi']"
6.9,['143'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.1,['93'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
8.8,['148'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.5,['137'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7.1,['130'],"['Action', 'Crime', 'Thriller']"
6.4,['123'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7.7,['131'],"['Action', 'Adventure', 'Sci-Fi']"
7.8,['166'],"['Drama', 'Fantasy', 'Romance']"
6.1,['109'],"['Action', 'Adventure', 'Family', 'Fantasy']"
5.7,['98'],"['Action', 'Adventure', 'Thriller']"
6.8,['123'],"['Action', 'Adventure', 'Fantasy']"
7.8,['209'],"['Biography', 'Crime', 'Drama']"
7.1,['107'],"['Action', 'Drama', 'History', 'Thriller']"
6.3,['113'],"['Adventure', 'Family', 'Fantasy']"
6.3,['126'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
5.6,['111'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['175'],"['Action', 'Biography', 'Drama', 'History', 'War']"
7.4,['140'],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
6.2,['183'],"['Action', 'Drama', 'History', 'Romance', 'War']"
7.1,['144'],"['Action', 'Adventure', 'Sci-Fi']"
6.8,['103'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
7.4,['141'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']"
7.5,['102'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
8.0,['108'],"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']"
7.5,['138'],"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
7.7,['157'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
7.2,['138'],"['Action', 'Sci-Fi']"
7.2,['101'],"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
7.6,['107'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
6.4,['92'],"['Action', 'Drama', 'Fantasy']"
6.7,['115'],"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
8.1,['111'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.8,['112'],"['Action', 'Adventure', 'Fantasy']"
8.3,['140'],"['Action', 'Crime', 'Drama']"
7.4,['131'],"['Action', 'Adventure', 'Thriller']"
7.8,['106'],"['Action', 'Drama', 'History', 'Thriller', 'War']"
7.0,['115'],"['Action', 'Adventure', 'Fantasy']"
6.7,['89'],"['Animation', 'Adventure', 'Comedy', 'Family']"
6.6,['107'],"['Action', 'Sci-Fi']"
6.0,['105'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
7.2,['90'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
8.1,['120'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.6,['104'],"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']"
6.7,['129'],"['Action', 'Sci-Fi']"
7.4,['140'],"['Action', 'Adventure', 'Sci-Fi']"
5.7,['81'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
6.9,['126'],"['Action', 'Adventure', 'Thriller']"
6.7,['138'],"['Action', 'Mystery', 'Thriller']"
7.3,['163'],"['Drama', 'History']"
4.0,['103'],"['Action', 'Adventure', 'Family', 'Fantasy']"
6.1,['91'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
5.1,['88'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
