title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
My Blueberry Nights,6.6,Norah Jones,Jude Law,Natalie Portman,https://www.imdb.com/title/tt0765120/,tt0765120
Coriolanus,6.1,Ralph Fiennes,Gerard Butler,Brian Cox,https://www.imdb.com/title/tt1372686/,tt1372686
Shaolin Soccer,7.3,Stephen Chow,Wei Zhao,Yat-Fei Wong,https://www.imdb.com/title/tt0286112/,tt0286112
The Brown Bunny,4.9,Vincent Gallo,Chloë Sevigny,Cheryl Tiegs,https://www.imdb.com/title/tt0330099/,tt0330099
Free Style,4.1,Corbin Bleu,Sandra Echeverría,Madison Pettis,https://www.imdb.com/title/tt1128071/,tt1128071
Joheunnom nabbeunnom isanghannom,7.2,Kang-ho Song,Lee Byung-hun,Jung Woo-sung,https://www.imdb.com/title/tt0901487/,tt0901487
The Oxford Murders,6.1,Elijah Wood,John Hurt,Leonor Watling,https://www.imdb.com/title/tt0488604/,tt0488604
White Noise 2: The Light,5.7,Nathan Fillion,Katee Sackhoff,Craig Fairbrass,https://www.imdb.com/title/tt0496436/,tt0496436
American Heist,5.0,Hayden Christensen,Earl Minor,Adrien Brody,https://www.imdb.com/title/tt2923316/,tt2923316
Fifty Dead Men Walking,6.8,Ben Kingsley,Jim Sturgess,Kevin Zegers,https://www.imdb.com/title/tt1097643/,tt1097643
The Lost City,6.5,Andy Garcia,Inés Sastre,Bill Murray,https://www.imdb.com/title/tt0343996/,tt0343996
Mine Vaganti,7.2,Riccardo Scamarcio,Nicole Grimaudo,Alessandro Preziosi,https://www.imdb.com/title/tt1405810/,tt1405810
Sicko,8.0,Michael Moore,Tucker Albrizzi,Tony Benn,https://www.imdb.com/title/tt0386032/,tt0386032
Black or White,6.6,Kevin Costner,Octavia Spencer,Gillian Jacobs,https://www.imdb.com/title/tt2883434/,tt2883434
Glee: The 3D Concert Movie,5.5,Cory Monteith,Dianna Agron,Lea Michele,https://www.imdb.com/title/tt1922612/,tt1922612
The Ultimate Gift,7.3,Drew Fuller,James Garner,Abigail Breslin,https://www.imdb.com/title/tt0482629/,tt0482629
Trust the Man,5.7,David Duchovny,Julianne Moore,Billy Crudup,https://www.imdb.com/title/tt0427968/,tt0427968
Princess Kaiulani,6.1,Q'orianka Kilcher,Barry Pepper,Shaun Evans,https://www.imdb.com/title/tt1185344/,tt1185344
Flammen og Citronen,7.2,Thure Lindhardt,Mads Mikkelsen,Stine Stengade,https://www.imdb.com/title/tt0920458/,tt0920458
Beneath Hill 60,7.1,Brendan Cowell,Harrison Gilbertson,Steve Le Marquand,https://www.imdb.com/title/tt1418646/,tt1418646
Polisse,7.3,Karin Viard,JoeyStarr,Marina Foïs,https://www.imdb.com/title/tt1661420/,tt1661420
Dofus - Livre 1: Julith,7.6,Sauvane Delanoë,Laetitia Lefebvre,Elisabeth Ventura,https://www.imdb.com/title/tt4731504/,tt4731504
The Namesake,7.5,Kal Penn,Irrfan Khan,Tabu,https://www.imdb.com/title/tt0433416/,tt0433416
Silmido,7.0,Sung-Ki Ahn,Sol Kyung-gu,Joon-ho Huh,https://www.imdb.com/title/tt0387596/,tt0387596
A.C.O.R.N.S.: Operation Crackdown,3.7,Jason Jones,Will Forte,John Leguizamo,https://www.imdb.com/title/tt2097333/,tt2097333
