title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
Fish Tank,7.3,Katie Jarvis,Michael Fassbender,Kierston Wareing,https://www.imdb.com/title/tt1232776/,tt1232776
à l\'intérieur,6.7,Alysson Paradis,Jean-Baptiste Tabourin,Claude Lulé,https://www.imdb.com/title/tt0856288/,tt0856288
Boynton Beach Club,6.5,Dyan Cannon,Joseph Bologna,Brenda Vaccaro,https://www.imdb.com/title/tt0439478/,tt0439478
High Tension,6.7,Cécile de France,Maïwenn,Philippe Nahon,https://www.imdb.com/title/tt0338095/,tt0338095
Diary of the Dead,5.6,Michelle Morgan,Joshua Close,Shawn Roberts,https://www.imdb.com/title/tt0848557/,tt0848557
Riding Giants,7.8,Laird Hamilton,Darrick Doerner,Dave Kalama,https://www.imdb.com/title/tt0389326/,tt0389326
Los Cronocrímenes,7.1,Karra Elejalde,Candela Fernández,Bárbara Goenaga,https://www.imdb.com/title/tt0480669/,tt0480669
La Cara Oculta,7.3,Quim Gutiérrez,Martina García,María Soledad Rodríguez,https://www.imdb.com/title/tt1772250/,tt1772250
2016: Obama’s America,5.1,Jay Bastian,Joe Biden,Cait Brasel,https://www.imdb.com/title/tt2247692/,tt2247692
Kevin Hart: Let Me Explain,6.7,Kevin Hart,Harry Ratchford,Will 'Spank' Horton,https://www.imdb.com/title/tt2609912/,tt2609912
Religulous,7.6,Bill Maher,Tal Bachman,Jonathan Boulden,https://www.imdb.com/title/tt0815241/,tt0815241
Jesus' Son,6.9,Billy Crudup,Robert Michael Kelly,Torben Brooks,https://www.imdb.com/title/tt0186253/,tt0186253
Saving Face,7.4,Joan Chen,Michelle Krusiec,Lynn Chen,https://www.imdb.com/title/tt0384504/,tt0384504
Brick Lane,6.6,Tannishtha Chatterjee,Satish Kaushik,Christopher Simpson,https://www.imdb.com/title/tt0940585/,tt0940585
The Other End of the Line,6.2,Jesse Metcalfe,Sara Foster,Anupam Kher,https://www.imdb.com/title/tt1049405/,tt1049405
Thr3e,4.9,Marc Blucas,Justine Waddell,Laura Jordan,https://www.imdb.com/title/tt0486028/,tt0486028
This is England,7.7,Thomas Turgoose,Stephen Graham,Jo Hartley,https://www.imdb.com/title/tt0480025/,tt0480025
Jackass: The Movie,6.6,Johnny Knoxville,Bam Margera,Chris Pontius,https://www.imdb.com/title/tt0322802/,tt0322802
It Follows,6.8,Maika Monroe,Keir Gilchrist,Olivia Luccardi,https://www.imdb.com/title/tt3235888/,tt3235888
Silent House,5.2,Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens,https://www.imdb.com/title/tt1767382/,tt1767382
Das Leben der Anderen,8.4,Ulrich Mühe,Martina Gedeck,Sebastian Koch,https://www.imdb.com/title/tt0405094/,tt0405094
Hardcore Henry,6.7,Sharlto Copley,Tim Roth,Haley Bennett,https://www.imdb.com/title/tt3072482/,tt3072482
Winter\'s Bone,7.1,Jennifer Lawrence,John Hawkes,Garret Dillahunt,https://www.imdb.com/title/tt1399683/,tt1399683
Meet the Mormons,6.8,Jermaine Sullivan,Ken Niumatalolo,Carolina Muñoz Marin,https://www.imdb.com/title/tt4003774/,tt4003774
Amores Perros,8.1,Emilio Echevarría,Gael García Bernal,Goya Toledo,https://www.imdb.com/title/tt0245712/,tt0245712
Touching the Void,8.0,Simon Yates,Joe Simpson,Brendan Mackey,https://www.imdb.com/title/tt0379557/,tt0379557
Inside Job,8.2,Matt Damon,Gylfi Zoega,Andri Snær Magnason,https://www.imdb.com/title/tt1645089/,tt1645089
Harsh Times,6.8,Christian Bale,Freddy Rodríguez,Eva Longoria,https://www.imdb.com/title/tt0433387/,tt0433387
Ghost Dog: The Way of the Samurai,7.5,Forest Whitaker,Henry Silva,John Tormey,https://www.imdb.com/title/tt0165798/,tt0165798
Waltz with Bashir,8.0,Ari Folman,Ron Ben-Yishai,Ronny Dayag,https://www.imdb.com/title/tt1185616/,tt1185616
Strangers with Candy,5.9,Amy Sedaris,Stephen Colbert,Paul Dinello,https://www.imdb.com/title/tt0369994/,tt0369994
Son of Rambow: A Home Movie,7.0,Bill Milner,Will Poulter,Jessica Hynes,https://www.imdb.com/title/tt0845046/,tt0845046
No End In Sight,8.2,Campbell Scott,Gerald Burke,Ali Fadhil,https://www.imdb.com/title/tt0912593/,tt0912593
In the Shadow of the Moon,8.0,Buzz Aldrin,Alan Bean,Eugene Cernan,https://www.imdb.com/title/tt0925248/,tt0925248
Meek's Cutoff,6.5,Michelle Williams,Bruce Greenwood,Paul Dano,https://www.imdb.com/title/tt1518812/,tt1518812
Sharkwater,7.9,Rob Stewart,Paul Watson,Erich Ritter,https://www.imdb.com/title/tt0856008/,tt0856008
Inside Deep Throat,6.7,Linda Lovelace,Harry Reems,Dennis Hopper,https://www.imdb.com/title/tt0418753/,tt0418753
Dinner Rush,7.3,Danny Aiello,Edoardo Ballerini,John Rothman,https://www.imdb.com/title/tt0229340/,tt0229340
Teeth,5.4,Jess Weixler,John Hensley,Josh Pais,https://www.imdb.com/title/tt0780622/,tt0780622
It's All Gone Pete Tong,7.3,Paul Kaye,Beatriz Batarda,Kate Magowan,https://www.imdb.com/title/tt0388139/,tt0388139
Lost River,5.7,Christina Hendricks,Iain De Caestecker,Matt Smith,https://www.imdb.com/title/tt2366608/,tt2366608
Man on Wire,7.7,Philippe Petit,Jean François Heckel,Jean-Louis Blondeau,https://www.imdb.com/title/tt1155592/,tt1155592
Nowhere Boy,7.1,Aaron Taylor-Johnson,Kristin Scott Thomas,Anne-Marie Duff,https://www.imdb.com/title/tt1266029/,tt1266029
Submarine,7.3,Craig Roberts,Sally Hawkins,Paddy Considine,https://www.imdb.com/title/tt1440292/,tt1440292
The Square,7.2,Claes Bang,Elisabeth Moss,Dominic West,https://www.imdb.com/title/tt4995790/,tt4995790
El crimen de padre Amaro,6.7,Gael García Bernal,Ana Claudia Talancón,Sancho Gracia,https://www.imdb.com/title/tt0313196/,tt0313196
Songcatcher,7.3,Janet McTeer,Michael Harding,Michael Davis,https://www.imdb.com/title/tt0210299/,tt0210299
POM Wonderful Presents: The Greatest Movie Ever…,6.6,J.J. Abrams,Peter Berg,Paul Brennan,https://www.imdb.com/title/tt1743720/,tt1743720
Travellers and Magicians,7.4,Tshewang Dendup,Gup Kado Duba,Dasho Kado,https://www.imdb.com/title/tt0378906/,tt0378906
May,6.6,Angela Bettis,Jeremy Sisto,Anna Faris,https://www.imdb.com/title/tt0303361/,tt0303361
La misma luna,7.3,Eugenio Derbez,Kate del Castillo,Adrian Alonso,https://www.imdb.com/title/tt0796307/,tt0796307
The Lunchbox,7.8,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,https://www.imdb.com/title/tt2350496/,tt2350496
My Summer of Love,6.7,Natalie Press,Emily Blunt,Paddy Considine,https://www.imdb.com/title/tt0382189/,tt0382189
Yes,6.4,Joan Allen,Simon Abkarian,Sam Neill,https://www.imdb.com/title/tt0381717/,tt0381717
Sukkar banat,7.1,Nadine Labaki,Joanna Moukarzel,Gisèle Aouad,https://www.imdb.com/title/tt0825236/,tt0825236
Insidious,6.8,Patrick Wilson,Rose Byrne,Ty Simpkins,https://www.imdb.com/title/tt1591095/,tt1591095
Cabin Fever,5.6,Jordan Ladd,Rider Strong,James DeBello,https://www.imdb.com/title/tt0303816/,tt0303816
Kissing Jessica Stein,6.6,Jennifer Westfeldt,Heather Juergensen,Tovah Feldshuh,https://www.imdb.com/title/tt0264761/,tt0264761
Run the Race,6.0,Tanner Stine,Kristoffer Polaha,Evan Hofer,https://www.imdb.com/title/tt3201736/,tt3201736
The Gatekeepers,7.6,Ami Ayalon,Avraham Shalom,Avi Dichter,https://www.imdb.com/title/tt2309788/,tt2309788
Nueve Reinas,7.9,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,https://www.imdb.com/title/tt0247586/,tt0247586
The Lords of Salem,5.1,Sheri Moon Zombie,Meg Foster,Bruce Davison,https://www.imdb.com/title/tt1731697/,tt1731697
Unsullied,4.0,Rusty Joiner,Murray Gray,James Gaudioso,https://www.imdb.com/title/tt3139764/,tt3139764
The Believer,7.1,Ryan Gosling,Summer Phoenix,Peter Meadows,https://www.imdb.com/title/tt0247199/,tt0247199
The Disappearance of Alice Creed,6.7,Gemma Arterton,Eddie Marsan,Martin Compston,https://www.imdb.com/title/tt1379177/,tt1379177
El abrazo de la serpiente,7.8,Nilbio Torres,Jan Bijvoet,Antonio Bolívar,https://www.imdb.com/title/tt4285496/,tt4285496
The Holy Girl,6.7,Mercedes Morán,Carlos Belloso,Alejandro Urdapilleta,https://www.imdb.com/title/tt0300270/,tt0300270
Journey from the Fall,7.2,Kieu Chinh,Long Nguyen,Diem Lien,https://www.imdb.com/title/tt0433398/,tt0433398
The Basket,6.5,Peter Coyote,Karen Allen,Robert Burke,https://www.imdb.com/title/tt0190255/,tt0190255
Filly Brown,5.8,Gina Rodriguez,Jenni Rivera,Lou Diamond Phillips,https://www.imdb.com/title/tt1869425/,tt1869425
Super Troopers,7.0,Jay Chandrasekhar,Kevin Heffernan,André Vippolis,https://www.imdb.com/title/tt0247745/,tt0247745
Monsoon Wedding,7.3,Naseeruddin Shah,Lillete Dubey,Shefali Shah,https://www.imdb.com/title/tt0265343/,tt0265343
But I'm a Cheerleader,6.7,Natasha Lyonne,Clea DuVall,Michelle Williams,https://www.imdb.com/title/tt0179116/,tt0179116
Ong-Bak,7.2,Tony Jaa,Petchtai Wongkamlao,Pumwaree Yodkamol,https://www.imdb.com/title/tt0368909/,tt0368909
Serbuan maut,7.6,Iko Uwais,Ananda George,Ray Sahetapy,https://www.imdb.com/title/tt1899353/,tt1899353
Unfriended,5.6,Heather Sossaman,Matthew Bohrer,Courtney Halverson,https://www.imdb.com/title/tt3713166/,tt3713166
An Inconvenient Truth,7.4,Al Gore,Billy West,George Bush,https://www.imdb.com/title/tt0497116/,tt0497116
You're Next,6.6,Sharni Vinson,Joe Swanberg,AJ Bowen,https://www.imdb.com/title/tt1853739/,tt1853739
"Hello, My Name is Doris",6.6,Sally Field,Max Greenfield,Tyne Daly,https://www.imdb.com/title/tt3766394/,tt3766394
Godzilla 2000,6.0,Takehiro Murata,Hiroshi Abe,Naomi Nishida,https://www.imdb.com/title/tt0188640/,tt0188640
Transamerica,7.4,Felicity Huffman,Kevin Zegers,Fionnula Flanagan,https://www.imdb.com/title/tt0407265/,tt0407265
The Green Inferno,5.3,Lorenza Izzo,Ariel Levy,Aaron Burns,https://www.imdb.com/title/tt2403021/,tt2403021
I Am Not Your Negro,7.9,Samuel L. Jackson,James Baldwin,Martin Luther King,https://www.imdb.com/title/tt5804038/,tt5804038
Shine a Light,7.1,Mick Jagger,Keith Richards,Charlie Watts,https://www.imdb.com/title/tt0893382/,tt0893382
October Baby,6.7,Rachel Hendrix,Jason Burkey,John Schneider,https://www.imdb.com/title/tt1720182/,tt1720182
20 Feet From Stardom,7.4,Darlene Love,Merry Clayton,Lisa Fischer,https://www.imdb.com/title/tt2396566/,tt2396566
"Food, Inc.",7.8,Michael Pollan,Eric Schlosser,Richard Lobb,https://www.imdb.com/title/tt1286537/,tt1286537
An Inconvenient Sequel,6.5,Al Gore,Cory Booker,George W. Bush,https://www.imdb.com/title/tt6322922/,tt6322922
Who Killed the Electric Car?,7.6,Martin Sheen,Tom Hanks,Mel Gibson,https://www.imdb.com/title/tt0489037/,tt0489037
The Secrets of Jonathan Sperry,6.8,Gavin MacLeod,Jansen Panettiere,Robert Guillaume,https://www.imdb.com/title/tt1070858/,tt1070858
Bubba Ho-Tep,7.0,Bruce Campbell,Ossie Davis,Bob Ivy,https://www.imdb.com/title/tt0281686/,tt0281686
Visages villages,7.8,Agnès Varda,JR,Jeannine Carpentier,https://www.imdb.com/title/tt5598102/,tt5598102
Palo Alto,6.2,Emma Roberts,James Franco,Jack Kilmer,https://www.imdb.com/title/tt2479800/,tt2479800
Ajami,7.3,Fouad Habash,Nisrin Siksik,Elias Saba,https://www.imdb.com/title/tt1077262/,tt1077262
The Act of Killing,8.2,Anwar Congo,Herman Koto,Syamsul Arifin,https://www.imdb.com/title/tt2375605/,tt2375605
Alone with Her,6.0,Ana Claudia Talancón,Colin Hanks,Jordana Spiro,https://www.imdb.com/title/tt0472259/,tt0472259
Hard Candy,7.0,Patrick Wilson,Elliot Page,Sandra Oh,https://www.imdb.com/title/tt0424136/,tt0424136
Lowriders,5.7,Gabriel Chavarria,Demián Bichir,Theo Rossi,https://www.imdb.com/title/tt1366338/,tt1366338
"4 luni, 3 saptamani si 2 zile",7.9,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,https://www.imdb.com/title/tt1032846/,tt1032846
Latter Days,7.1,Wes Ramsey,Steve Sandvoss,Mary Kay Place,https://www.imdb.com/title/tt0345551/,tt0345551
Celeste and Jesse Forever,6.6,Rashida Jones,Andy Samberg,Elijah Wood,https://www.imdb.com/title/tt1405365/,tt1405365
London to Brighton,6.9,Lorraine Stanley,Georgia Groome,Johnny Harris,https://www.imdb.com/title/tt0490166/,tt0490166
Raising Victor Vargas,7.2,Victor Rasuk,Donna Maldonado,Kevin Rivera,https://www.imdb.com/title/tt0316188/,tt0316188
Saints and Soldiers,6.7,Corbin Allred,Alexander Polinsky,Kirby Heyborne,https://www.imdb.com/title/tt0373283/,tt0373283
Kevin Hart: Laugh at My Pain,7.3,Kevin Hart,Taraji P. Henson,Will 'Spank' Horton,https://www.imdb.com/title/tt1999192/,tt1999192
Aqua Teen Hunger Force Colon Movie Film for The…,6.7,Dana Snyder,Dave Willis,Carey Means,https://www.imdb.com/title/tt0455326/,tt0455326
Bikur Ha-Tizmoret,7.5,Sasson Gabay,Ronit Elkabetz,Saleh Bakri,https://www.imdb.com/title/tt1032856/,tt1032856
Best of Enemies,7.6,Gore Vidal,William F. Buckley,Dick Cavett,https://www.imdb.com/title/tt3518012/,tt3518012
The Innkeepers,5.5,Sara Paxton,Pat Healy,Kelly McGillis,https://www.imdb.com/title/tt1594562/,tt1594562
Donkey Punch,5.2,Sian Breckin,Nichola Burley,Jaime Winstone,https://www.imdb.com/title/tt0988849/,tt0988849
All the Boys Love Mandy Lane,5.5,Amber Heard,Anson Mount,Whitney Able,https://www.imdb.com/title/tt0490076/,tt0490076
Rize,7.1,Tommy the Clown,Larry Berry,Dragon,https://www.imdb.com/title/tt0436724/,tt0436724
Open Water,5.8,Blanchard Ryan,Daniel Travis,Saul Stein,https://www.imdb.com/title/tt0374102/,tt0374102
Mad Hot Ballroom,7.4,Heather Berman,Emma Therese Biegacki,Eva Carrozza,https://www.imdb.com/title/tt0438205/,tt0438205
To Save a Life,6.8,Randy Wayne,Deja Kreutzberg,Joshua Weigel,https://www.imdb.com/title/tt1270286/,tt1270286
Wordplay,7.4,Will Shortz,Ken Burns,Jon Stewart,https://www.imdb.com/title/tt0492506/,tt0492506
Sholem Aleichem: Laughing in the Darkness,7.1,Rachel Dratch,Hillel Halkin,Jason Kravits,https://www.imdb.com/title/tt1976608/,tt1976608
Lonesome Jim,6.5,Casey Affleck,Liv Tyler,Mary Kay Place,https://www.imdb.com/title/tt0385056/,tt0385056
Rubber,5.7,Stephen Spinella,Roxane Mesquida,Wings Hauser,https://www.imdb.com/title/tt1612774/,tt1612774
Griffin & Phoenix,6.9,Amanda Peet,Dermot Mulroney,Sarah Paulson,https://www.imdb.com/title/tt0460812/,tt0460812
Paranormal Activity,6.3,Katie Featherston,Micah Sloat,Mark Fredrichs,https://www.imdb.com/title/tt1179904/,tt1179904
Brick,7.2,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,https://www.imdb.com/title/tt0393109/,tt0393109
Conversations with Other Women,6.9,Helena Bonham Carter,Aaron Eckhart,Yury Tsykun,https://www.imdb.com/title/tt0435623/,tt0435623
Moartea domnului Lazarescu,7.9,Doru Ana,Monica Barladeanu,Alina Berzunteanu,https://www.imdb.com/title/tt0456149/,tt0456149
Twenty-Two,7.4,Ke Guo,Shuiqing Jing,Yanjie Li,https://www.imdb.com/title/tt3843282/,tt3843282
Dogtown and Z-Boys,7.6,Sean Penn,Jay Adams,Tony Alva,https://www.imdb.com/title/tt0275309/,tt0275309
Tarnation,7.1,Jonathan Caouette,Renee Leblanc,Adolph Davis,https://www.imdb.com/title/tt0390538/,tt0390538
Stan Helsing: A Parody,3.5,Steve Howey,Diora Baird,Kenan Thompson,https://www.imdb.com/title/tt1185266/,tt1185266
Murderball,7.7,Joe Soares,Keith Cavill,Mark Zupan,https://www.imdb.com/title/tt0436613/,tt0436613
Kynodontas,7.2,Christos Stergioglou,Michele Valley,Angeliki Papoulia,https://www.imdb.com/title/tt1379182/,tt1379182
Tupac Resurrection,7.9,Tupac Shakur,Rappin' 4-Tay,Conrad Bain,https://www.imdb.com/title/tt0343121/,tt0343121
Ayurveda: Art of Being,7.6,Nicolos Kostopoulos,Vaidya Narayan Murthy,Brahmanand Swamigal,https://www.imdb.com/title/tt0221809/,tt0221809
Lovely and Amazing,6.7,Catherine Keener,Brenda Blethyn,Troy Ruptash,https://www.imdb.com/title/tt0258273/,tt0258273
Sleight,5.9,Jacob Latimore,Seychelle Gabriel,Storm Reid,https://www.imdb.com/title/tt4573516/,tt4573516
Better Luck Tomorrow,7.0,Parry Shen,Jason Tobin,Sung Kang,https://www.imdb.com/title/tt0280477/,tt0280477
Bronson,7.1,Tom Hardy,Kelly Adams,Luing Andrews,https://www.imdb.com/title/tt1172570/,tt1172570
Embrace,7.2,Taryn Brumfitt,Renee Airya,Linda Bacon,https://www.imdb.com/title/tt4862478/,tt4862478
The Grace Card,6.3,Michael Joiner,Michael Higgenbottom,Louis Gossett Jr.,https://www.imdb.com/title/tt1544600/,tt1544600
Your Sister's Sister,6.7,Mark Duplass,Emily Blunt,Rosemarie DeWitt,https://www.imdb.com/title/tt1742336/,tt1742336
Super Size Me,7.2,Morgan Spurlock,Daryl Isaacs,Chemeeka Walker,https://www.imdb.com/title/tt0390521/,tt0390521
Dayereh,7.4,Maryiam Palvin Almani,Nargess Mamizadeh,Mojgan Faramarzi,https://www.imdb.com/title/tt0255094/,tt0255094
